@NAME,@DATEVALIDATED,@UNIQUEIDENTIFIER,@RESOLVED,@TEMPLATE,@WHENCREATED,@DATERESOLVED,@TYPE,@WHENUPDATED,@DESCRIPTION,@EXPORTFLAG,@VALIDATED,@CWAVERAGERATING,@CWTOTALCOMMENT,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
Be Aware,1899-12-30T00:00:00,b2c7d6e20c0d11e3beaae4ef44b5706d,0,0,2013-08-23T10:04:38,1899-12-30T00:00:00,b2c7d6e10c0d11e3beaae4ef44b5706d,2013-08-28T04:52:52,"Prospects or customers in this phase are becoming aware of an offering, service or product provided by a CSP either voluntarily reaching out, or indirectly being the recepient of marketing efforts by the CSP.",0,0,0.0,0.0,6,6,6,,,
Application Framework 16.5 Addition,1899-12-30T00:00:00,b3e65c53a4c811e6bf18002590713bc0,0,0,2016-11-07T03:01:01,1899-12-30T00:00:00,4640150ba5d511e6bf18002590713bc0,2016-11-10T13:54:36,,0,0,0.0,0.0,32,32,8,,,
What are the customer's communication needs?,1899-12-30T00:00:00,b4cd1bd537ec11e3becc9c9341769232,0,0,2013-10-18T05:59:06,1899-12-30T00:00:00,0d565c4737ec11e3becc9c9341769232,2013-10-18T05:59:06,,0,0,0.0,0.0,6,6,6,,,
What are the customer's reporting needs?,1899-12-30T00:00:00,b4cd1bd637ec11e3becc9c9341769232,0,0,2013-10-18T05:59:08,1899-12-30T00:00:00,0d565c4737ec11e3becc9c9341769232,2013-10-18T05:59:08,,0,0,0.0,0.0,6,6,6,,,
What are the key customer touch points?,1899-12-30T00:00:00,b4cd1bd737ec11e3becc9c9341769232,0,0,2013-10-18T05:59:11,1899-12-30T00:00:00,0d565c4737ec11e3becc9c9341769232,2013-10-18T05:59:11,,0,0,0.0,0.0,6,6,6,,,
What are the pricing rules?,1899-12-30T00:00:00,b4cd1bd837ec11e3becc9c9341769232,0,0,2013-10-18T05:59:13,1899-12-30T00:00:00,0d565c4837ec11e3becc9c9341769232,2013-10-18T05:59:13,,0,0,0.0,0.0,6,6,6,,,
"What are the rules around MACD, rollbacks?",1899-12-30T00:00:00,b4cd1bd937ec11e3becc9c9341769232,0,0,2013-10-18T05:59:16,1899-12-30T00:00:00,0d565c4837ec11e3becc9c9341769232,2013-10-18T05:59:16,,0,0,0.0,0.0,6,6,6,,,
Information Framework 13.0 Addition,1899-12-30T00:00:00,b5f753efe34311e2be9650b7c3954f49,0,0,2013-07-02T12:18:03,1899-12-30T00:00:00,4a2d4f0980ae11e2b493984be1bad6a0,2013-07-08T08:47:27,,0,0,0.0,0.0,6,6,6,,,
Product Catalog Management (4.2),1899-12-30T00:00:00,b6b1d3f93aea11e0a702002564cb911c,0,0,2011-02-17T18:07:39,1899-12-30T00:00:00,565609dd856311e2a387984be1bad6a0,2013-03-05T03:08:45,"Name changed from Product/Service Catalog Management
Overview changed
Functionality deleted",0,0,0.0,0.0,,,6,ADMIN,ADMIN,
NICC 1626,1899-12-30T00:00:00,b75c787bf4dd11e4aa85002590713bc0,0,0,2015-05-07T11:23:11,1899-12-30T00:00:00,,2015-05-07T11:23:11,,0,0,0.0,0.0,32,32,32,,,
Monetize Services,1899-12-30T00:00:00,b95d77de34bd11e3bec1b72eb0d0e42f,0,0,2013-10-14T04:45:34,1899-12-30T00:00:00,6249e33534bb11e3bec1b72eb0d0e42f,2013-10-14T04:45:34,,0,0,0.0,0.0,6,6,6,,,
Add Customer Order Initialization,1899-12-30T00:00:00,bb917da57f0111ea80ee000d3a02ed0d,0,0,2020-04-15T10:13:22,1899-12-30T00:00:00,,2020-04-15T10:14:22,,0,0,0.0,0.0,,,,ATALMOR,ATALMOR,ATALMOR
What are the service (specification) features?,1899-12-30T00:00:00,bc0f229f37ec11e3becc9c9341769232,0,0,2013-10-18T05:59:18,1899-12-30T00:00:00,0d565c4737ec11e3becc9c9341769232,2013-10-18T05:59:18,,0,0,0.0,0.0,6,6,6,,,
"What are the SLAs for Pri1, Pri2 and Pri3/4 tickets?",1899-12-30T00:00:00,bc0f22a037ec11e3becc9c9341769232,0,0,2013-10-18T05:59:21,1899-12-30T00:00:00,0d565c4737ec11e3becc9c9341769232,2013-10-18T05:59:21,,0,0,0.0,0.0,6,6,6,,,
What customer information is needed to complete an order?  Does the required info depend on the options chosen?,1899-12-30T00:00:00,bc0f22a137ec11e3becc9c9341769232,0,0,2013-10-18T05:59:23,1899-12-30T00:00:00,0d565c4937ec11e3becc9c9341769232,2013-10-18T05:59:23,,0,0,0.0,0.0,6,6,6,,,
What customer segments will be targeted?,1899-12-30T00:00:00,bc0f22a237ec11e3becc9c9341769232,0,0,2013-10-18T05:59:25,1899-12-30T00:00:00,0d565c4937ec11e3becc9c9341769232,2013-10-18T05:59:25,,0,0,0.0,0.0,6,6,6,,,
What customer type are we target ?,1899-12-30T00:00:00,bc0f22a337ec11e3becc9c9341769232,0,0,2013-10-18T05:59:28,1899-12-30T00:00:00,0d565c4937ec11e3becc9c9341769232,2013-10-18T05:59:28,,0,0,0.0,0.0,6,6,6,,,
Information Framework 12.0 Addition 2,1899-12-30T00:00:00,bd2523690ed511e2840c984be1bad6a0,0,0,2012-10-05T07:14:24,1899-12-30T00:00:00,be57dbf1632011e1aa36002564cb911c,2013-05-01T09:03:56,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"">
<HTML><HEAD>
<META http-equiv=Content-Type content=""text/html; charset=utf-8"">
<META content=""MSHTML 6.00.6000.16788"" name=GENERATOR></HEAD>
<BODY> <p>Information Framework load from 20120915 extract on 20121005</p> </BODY></HTML>",0,0,0.0,0.0,,,6,ADMIN,ADMIN,
Application Framework 13.5 Addition,1899-12-30T00:00:00,bd50a8942ba511e397730220e3370c01,0,0,2013-10-02T15:00:55,1899-12-30T00:00:00,8b21dab82ba511e397730220e3370c01,2013-10-02T15:00:55,,0,0,0.0,0.0,8,8,8,,,
Interact,1899-12-30T00:00:00,be807cd60c0d11e3beaae4ef44b5706d,0,0,2013-08-23T10:04:50,1899-12-30T00:00:00,b2c7d6e10c0d11e3beaae4ef44b5706d,2013-08-28T04:53:16,"Prospects and Customers in this phase now begin to interact with the CSP(s) via any one of their channels to understand further information on their offerings, products and/or services",0,0,0.0,0.0,6,6,6,,,
Choose,1899-12-30T00:00:00,be807cd70c0d11e3beaae4ef44b5706d,0,0,2013-08-23T10:04:54,1899-12-30T00:00:00,b2c7d6e10c0d11e3beaae4ef44b5706d,2013-08-28T04:53:00,Existing customers or new prospects in this phase select the CSP and the offering or service which they would like to purchase and sign up for.,0,0,0.0,0.0,6,6,6,,,
Business Process Framework 13.0 Addition,1899-12-30T00:00:00,bfb0a492e4b211e2be9650b7c3954f49,0,0,2013-07-04T08:05:16,1899-12-30T00:00:00,4a2d4f0980ae11e2b493984be1bad6a0,2013-07-08T08:47:55,,0,0,0.0,0.0,6,6,6,,,
Business Process Framework 17.0 Deletion,1899-12-30T00:00:00,c007af624f8c11e780ca000d3a02ed0d,0,0,2017-06-12T16:32:40,1899-12-30T00:00:00,3715a2425aa411e780cb000d3a02ed0d,2017-06-26T19:18:43,,0,0,0.0,0.0,,,,ATALMOR,ATALMOR,DFREED
Business Process Framework 20.0 Addition,1899-12-30T00:00:00,c0784359a0cd11ea80f0000d3a02ed0d,0,0,2020-05-28T10:26:56,1899-12-30T00:00:00,efaa146a659e11eb80fc000d3a02ed0d,2021-02-02T21:39:22,,0,0,0.0,0.0,,,,ATALMOR,ATALMOR,DFREED
Business Process Framework 20.0 Modification,1899-12-30T00:00:00,c078435ba0cd11ea80f0000d3a02ed0d,0,0,2020-05-28T10:26:58,1899-12-30T00:00:00,efaa146a659e11eb80fc000d3a02ed0d,2021-02-02T21:42:16,,0,0,0.0,0.0,,,,ATALMOR,ATALMOR,DFREED
backwards hierarchy,1899-12-30T00:00:00,c200860878cd11ea80ee000d3a02ed0d,0,0,2020-04-07T12:46:12,1899-12-30T00:00:00,,2020-04-07T12:46:15,,0,0,0.0,0.0,,,,DFREED,DFREED,DFREED
Information Framework 14.0 Addition,1899-12-30T00:00:00,c30a0d22e26311e392b26817294aebff,0,0,2014-05-23T04:19:48,1899-12-30T00:00:00,7f17fa78e27711e392b26817294aebff,2014-05-23T06:41:50,,0,0,0.0,0.0,32,32,32,,,
What documentation about the customer is needed?,1899-12-30T00:00:00,c318494837ec11e3becc9c9341769232,0,0,2013-10-18T05:59:30,1899-12-30T00:00:00,0d565c4937ec11e3becc9c9341769232,2013-10-18T05:59:30,,0,0,0.0,0.0,6,6,6,,,
What does the customer need to know about order limitation milestone?,1899-12-30T00:00:00,c318494937ec11e3becc9c9341769232,0,0,2013-10-18T05:59:32,1899-12-30T00:00:00,0d565c4937ec11e3becc9c9341769232,2013-10-18T05:59:32,,0,0,0.0,0.0,6,6,6,,,
What does the process to route/escalate the trouble tickets to appropriate stakeholders (level 1-4 support) look like?,1899-12-30T00:00:00,c318494a37ec11e3becc9c9341769232,0,0,2013-10-18T05:59:35,1899-12-30T00:00:00,0d565c4737ec11e3becc9c9341769232,2013-10-18T05:59:35,,0,0,0.0,0.0,6,6,6,,,
What impact does this product have to retention and loyalty?,1899-12-30T00:00:00,c318494b37ec11e3becc9c9341769232,0,0,2013-10-18T05:59:37,1899-12-30T00:00:00,0d565c4737ec11e3becc9c9341769232,2013-10-18T05:59:37,,0,0,0.0,0.0,6,6,6,,,
What is the premise serviceability need to be?,1899-12-30T00:00:00,c318494c37ec11e3becc9c9341769232,0,0,2013-10-18T05:59:39,1899-12-30T00:00:00,0d565c4737ec11e3becc9c9341769232,2013-10-18T05:59:39,,0,0,0.0,0.0,6,6,6,,,
Infonova R6-CONCEPT-TO-CASH V6.5,1899-12-30T00:00:00,c33ff241adea11e3865d6817294aebff,0,0,2014-03-17T09:41:35,1899-12-30T00:00:00,9b44f8a451f611e3bedaf3b5dd50bdcc,2014-03-17T10:34:46,"Company Name Infonova
Certification Type Product
Product Name R6-CONCEPT-TO-CASH
Product Version 6.5
Product Description R6 is an E2E Concept-to-Cash BSS for a primary operator & multiple tenants. It is a fully J2EE platform that supports real multi-tenant concept-to-cash operations for fully convergent and complex cross-industry business models while also supporting Telco 1.0 simultaneously. The R6 platform has been specifically designed to be technology and service agnostic and offers comprehensive service bundling, enabling multiple tenant operators to configure, bundle and price their own product & service portfolios including Cloud (IaaS, PaaS & SaaS), Broadband IP, VoIP, IPTV, PSTN, Mobile with other third party services, e.g. media, insurance, device distribution, content, water, gas and power - for their target markets.
Company Website https://www.infonova.com/en/index.html
Product Website https://www.infonova.com/en/r6-concept-to-cash.html
Product Contacts andreas.polz@infonova.com, thomas.russ@infonova.com
Frameworx Version 12.0
Product Summary Results http://www.tmforum.org/InfonovaR6ConcepttoCash/14959/home.html
eTOM WEB Results http://www.tmforum.org/InfonovaR6C2CBSS/14960/home.html
SID WEB Results http://www.tmforum.org/InfonovaR6C2CBSS/14962/home.html
Certification Report: http://www.tmforum.org/browse.aspx?catID=14962&linkID=52138&docID=20074",0,0,0.0,0.0,32,32,32,,,
Business Process Framework 21.0 Addition,1899-12-30T00:00:00,c4494977bcac11eb8100000d3a02ed0d,0,0,2021-05-24T16:26:20,1899-12-30T00:00:00,,2021-05-24T16:26:20,,0,0,0.0,0.0,,,,ATALMOR,ATALMOR,ATALMOR
Application Framework 12.0 Addition,1899-12-30T00:00:00,c7d336ac632011e1aa36002564cb911c,0,0,2012-02-29T17:00:25,1899-12-30T00:00:00,be57dbf1632011e1aa36002564cb911c,2013-04-30T03:22:36,TAM 12.0 = TAM 5.0,0,0,0.0,0.0,,,6,ADMIN,ADMIN,
Consume,1899-12-30T00:00:00,c8117a370c0d11e3beaae4ef44b5706d,0,0,2013-08-23T10:05:06,1899-12-30T00:00:00,b2c7d6e10c0d11e3beaae4ef44b5706d,2013-08-28T04:53:08,The customer begins to use the services of the CSP and starts to make decisions about its usage and personal experience.,0,0,0.0,0.0,6,6,6,,,
Business Process Framework 21.0 Deletion,1899-12-30T00:00:00,c88f0e6ebcad11eb8100000d3a02ed0d,0,0,2021-05-24T16:33:36,1899-12-30T00:00:00,,2022-01-12T20:52:17,,0,0,0.0,0.0,,,,ATALMOR,ATALMOR,DFREED
Information Framework 14.0 Deletion,1899-12-30T00:00:00,c8af3452e27f11e392b26817294aebff,0,0,2014-05-23T07:40:14,1899-12-30T00:00:00,7f17fa78e27711e392b26817294aebff,2014-05-23T07:43:35,,0,0,0.0,0.0,32,32,32,,,
Business Process Framework 12.0 moved to L4,1899-12-30T00:00:00,c9700c407e0811e1a8e8002564cb911c,0,0,2012-04-03T23:46:41,1899-12-30T00:00:00,be57dbf1632011e1aa36002564cb911c,2013-04-30T03:18:23,,0,0,0.0,0.0,,,6,ADMIN,ADMIN,
What order volumes are expected (over time)?,1899-12-30T00:00:00,c9d19ea137ec11e3becc9c9341769232,0,0,2013-10-18T05:59:42,1899-12-30T00:00:00,0d565c4737ec11e3becc9c9341769232,2013-10-18T05:59:42,,0,0,0.0,0.0,6,6,6,,,
What party are we targeting?,1899-12-30T00:00:00,c9d19ea237ec11e3becc9c9341769232,0,0,2013-10-18T05:59:44,1899-12-30T00:00:00,0d565c4937ec11e3becc9c9341769232,2013-10-18T05:59:44,,0,0,0.0,0.0,6,6,6,,,
Which sales channels will be driving the orders?,1899-12-30T00:00:00,c9d19ea337ec11e3becc9c9341769232,0,0,2013-10-18T05:59:46,1899-12-30T00:00:00,0d565c4937ec11e3becc9c9341769232,2013-10-18T05:59:46,,0,0,0.0,0.0,6,6,6,,,
Who is providing the feature (specification) ?,1899-12-30T00:00:00,c9d19ea437ec11e3becc9c9341769232,0,0,2013-10-18T05:59:48,1899-12-30T00:00:00,0d565c4937ec11e3becc9c9341769232,2013-10-18T05:59:48,,0,0,0.0,0.0,6,6,6,,,
Wholesale: what does the process of customer/partner on-boarding look like?,1899-12-30T00:00:00,c9d19ea537ec11e3becc9c9341769232,0,0,2013-10-18T05:59:51,1899-12-30T00:00:00,0d565c4737ec11e3becc9c9341769232,2013-10-18T05:59:51,,0,0,0.0,0.0,6,6,6,,,
Application Framework 16.0 Addition,1899-12-30T00:00:00,cb0875bb275011e6bf18002590713bc0,0,0,2016-05-31T10:57:45,1899-12-30T00:00:00,39eea1812bf611e6bf18002590713bc0,2016-06-08T13:49:42,,0,0,0.0,0.0,32,32,8,,,
Information Framework 14.5 Deletion,1899-12-30T00:00:00,ccd0726379fd11e49eb36817294aebff,0,0,2014-12-02T10:32:51,1899-12-30T00:00:00,e42421d86e5c11e4b36f6817294aebff,2014-12-02T10:32:51,,0,0,0.0,0.0,,,,ADMIN,ADMIN,ADMIN
Information Framework 14.5 Addition,1899-12-30T00:00:00,ccd072cc79fd11e49eb36817294aebff,0,0,2014-12-02T10:32:57,1899-12-30T00:00:00,e42421d86e5c11e4b36f6817294aebff,2014-12-02T10:32:57,,0,0,0.0,0.0,,,,ADMIN,ADMIN,ADMIN
Manage,1899-12-30T00:00:00,cefe15b30c0d11e3beaae4ef44b5706d,0,0,2013-08-23T10:05:17,1899-12-30T00:00:00,b2c7d6e10c0d11e3beaae4ef44b5706d,2013-08-28T04:53:31,"Customers during this phase are managing their account and service, making changes to their subscription and also seeking help and assistance (as need be) to continue utilization of their services with the CSP.",0,0,0.0,0.0,6,6,6,,,
Wholesales: what does the process of customer/partner on-boarding look like?,1899-12-30T00:00:00,d0c7c0ab37ec11e3becc9c9341769232,0,0,2013-10-18T05:59:53,1899-12-30T00:00:00,0d565c4737ec11e3becc9c9341769232,2013-10-18T05:59:53,,0,0,0.0,0.0,6,6,6,,,
Will the customer be able to bring own device?,1899-12-30T00:00:00,d0c7c0ac37ec11e3becc9c9341769232,0,0,2013-10-18T05:59:55,1899-12-30T00:00:00,0d565c4737ec11e3becc9c9341769232,2013-10-18T05:59:55,,0,0,0.0,0.0,6,6,6,,,
Will there be self-service ordering?,1899-12-30T00:00:00,d0c7c0ad37ec11e3becc9c9341769232,0,0,2013-10-18T05:59:58,1899-12-30T00:00:00,0d565c4737ec11e3becc9c9341769232,2013-10-18T05:59:58,,0,0,0.0,0.0,6,6,6,,,
Will there be self-service support for service or product,1899-12-30T00:00:00,d0c7c0ae37ec11e3becc9c9341769232,0,0,2013-10-18T06:00:00,1899-12-30T00:00:00,0d565c4737ec11e3becc9c9341769232,2013-10-18T06:00:00,,0,0,0.0,0.0,6,6,6,,,
Rancore RTTC  V6.0.2.,1899-12-30T00:00:00,d0db21b581ab11e394686817294aebff,0,0,2014-01-20T02:20:51,1899-12-30T00:00:00,9b44f8a451f611e3bedaf3b5dd50bdcc,2014-03-17T05:11:44,"Company Name Rancore Technologies
Certification Type Product
Product Name Rancore Technologies Total Charge (RTTC) System
Product Version 6.0.2
Product Description ""Rancore’s RtTotalCharge (RTTC) enables Communication Service Providers (CSP) with a convergent rating and charging solution for legacy and next generation communication services. This carrier class charging product is built around 3GPP specifications and TM Forum recommendations. It provides unmatched flexibility to retail and enterprise businesses by supporting complex customer hierarchies, payment models and usage based promotions.
RTTC helps CSPs to accelerate their Go-To-Market strategy by providing ready-to-use rich APIs and standard interfaces to integrate with both the networks and the OSS & BSS systems. The flexibility of RTTC architecture permits its deployment either as a stand-alone charging product or as an integrated solution along with other billing and invoicing systems.
The architectural constructs of RTTC supports virtually unlimited subscriber base, high availability and excellent performance, thus making it suitable for the incumbent as well as green field operators.""
Company Website http://www.rancoretech.com/
Product Website http://www.rancoretech.com/
Product Contacts anurag.singh@rancoretech.com, shailesh.jha@rancoretech.com
Frameworx Version 12.0
Product Summary Results http://www.tmforum.org/RancoreTechnologies/15413/home.html
eTOM WEB Results http://www.tmforum.org/RancoreTechnologies/15413/RancoreTechnologies/15415/home.html
SID WEB Results http://www.tmforum.org/RancoreTechnologies/15413/RancoreTechnologies/15423/home.html
Certification Report: http://www.tmforum.org/browse.aspx?linkid=53160&docid=20613",0,0,0.0,0.0,32,32,32,,,
Application Framework 12.0 Modification,1899-12-30T00:00:00,d2a8d9bb63b711e1aa36002564cb911c,0,0,2012-03-01T11:01:37,1899-12-30T00:00:00,be57dbf1632011e1aa36002564cb911c,2013-04-30T03:23:19,TAM 12.0=TAM 5.0,0,0,0.0,0.0,,,6,ADMIN,ADMIN,
B2B Interaction Business Processes Technical Specification (v1 9),1899-12-30T00:00:00,d4608a625e8711e4925a6817294aebff,0,0,2014-10-28T03:50:28,1899-12-30T00:00:00,565609db856311e2a387984be1bad6a0,2014-10-29T03:55:40,,0,0,0.0,0.0,32,32,6,,,
GB978 Catalog to Catalog Interface,1899-12-30T00:00:00,d62122a3f4dd11e4aa85002590713bc0,0,0,2015-05-07T11:24:05,1899-12-30T00:00:00,,2015-05-07T11:24:05,,0,0,0.0,0.0,32,32,32,,,
Pay,1899-12-30T00:00:00,d84f4b5a0c0d11e3beaae4ef44b5706d,0,0,2013-08-23T10:05:33,1899-12-30T00:00:00,b2c7d6e10c0d11e3beaae4ef44b5706d,2013-08-28T04:53:38,The pay subphase of the lifecycle includes the interactions wherein the customer receives and views his charges on his account and depending upon his payment type either tops up his service or makes payments against it.,0,0,0.0,0.0,6,6,6,,,
Huawei-MSUP V2.0,1899-12-30T00:00:00,d8780662c6c711e3b45c6817294aebff,0,0,2014-04-18T01:04:57,1899-12-30T00:00:00,9b44f8a451f611e3bedaf3b5dd50bdcc,2014-04-18T01:57:01,"Company Name Huawei
Certification Type Implementation
Product Name Managed Services Unified Platform (MSUP)
Product Version V2.0
Product Description ""This Managed Services Unified Platform illustrates and details the required components and processes to Effectively, Consistently, Economically and Securely implement and manage an ICT services provider business:
The MSUP business processes and related business metrics are deployed within an organization;
During the MSUP implementation, the Operation Data Information is Monitored and Analyzed to identify the improvement area, then the MSUP process is prioritized, customized and implemented according to Improvement solution;
The Operation Data Information is collected, analyzed to identify process inefficiencies compared to:
Contractual requirements, Service Level Agreements, Key Performance Indicators (Cost, Customer Experience, Operational Effectiveness)
Internal commitments as Operating Level Agreements, Performance Indicators
and proven industry best practices
The Operation Excellence is guaranteed after the implementation: 
Improved SLA compliance rate o Reduced Time to Deliver Service and Speed Deployment of New Services o Rapid Repair of Service Faults
Increased Workforce Productivity
Reduced Revenue Leakage and to Improve Profits and Business Agility
Reduced Customer Churn and Unlock New Business Opportunities
Better Security Control to Manage Confidentiality, Integrity and Availability of Information
Improved compliance to regulatory requirements
Improved management effectiveness and efficiency
Certification Results:
http://www.tmforum.org/HuaweiMSUPV2/14592/home.html""
Company Website http://www.huawei.com/en/
Product Website http://www.huawei.com/en/about-huawei/publications/huawei-service/hw-103966.htm
Product Contacts Tinchung.Shea@huawei.com, fengqingfeng@huawei.com, cp.lau@huawei.com
Frameworx Version 12.0
Summary WEB Results http://www.tmforum.org/HuaweiMSUPV2/14592/home.html
eTOM WEB Results http://www.tmforum.org/HuaweiManagedServices/14594/home.html
SID WEB Results N/A
Certification Report: http://www.tmforum.org/browse.aspx?catID=14594&linkID=51412&docID=19341",0,0,0.0,0.0,32,32,32,,,
Business Process Framework 16.5 Deletion,1899-12-30T00:00:00,d8f24abca50011e6bf18002590713bc0,0,0,2016-11-07T09:42:55,1899-12-30T00:00:00,4640150ba5d511e6bf18002590713bc0,2016-11-08T11:03:37,,0,0,0.0,0.0,32,32,8,,,
Business Process Framework 12.0 Addition,1899-12-30T00:00:00,dc88e54c6c7c11e1a5f7002564cb911c,0,0,2012-03-12T15:52:14,1899-12-30T00:00:00,be57dbf1632011e1aa36002564cb911c,2013-04-22T14:46:38,,0,0,0.0,0.0,,,8,ADMIN,ADMIN,
Information Framework 15.0  Deletion,1899-12-30T00:00:00,dcca07a06db911e5bf18002590713bc0,0,0,2015-10-08T06:41:16,1899-12-30T00:00:00,62af7d8afe4011e4aa85002590713bc0,2016-01-27T21:22:23,,0,0,0.0,0.0,32,32,8,,,
GB959 v0 4,1899-12-30T00:00:00,dd8586955f4711e4b023002590713bc0,0,0,2014-10-29T02:45:01,1899-12-30T00:00:00,565609db856311e2a387984be1bad6a0,2014-10-29T03:53:43,"This link is about the objects that were first found in GB959.  There are many other objects in GB959 as well, but they correspond to objects that were already within the repository.",0,0,0.0,0.0,32,32,6,,,
Application Framework 17.5 Modification,1899-12-30T00:00:00,de68c5fee02a11e780d0000d3a02ed0d,0,0,2017-12-13T17:27:19,1899-12-30T00:00:00,fb46f720db9111e780d0000d3a02ed0d,2017-12-27T13:58:18,,0,0,0.0,0.0,,,,ATALMOR,ATALMOR,DFREED
Business Process Framework 20.5 Modification,1899-12-30T00:00:00,e00f7e3433ff11eb80f9000d3a02ed0d,0,0,2020-12-01T18:06:04,1899-12-30T00:00:00,efaa146b659e11eb80fc000d3a02ed0d,2021-02-02T21:42:29,,0,0,0.0,0.0,,,,ATALMOR,ATALMOR,DFREED
Renew,1899-12-30T00:00:00,e085590c0c0d11e3beaae4ef44b5706d,0,0,2013-08-23T10:05:47,1899-12-30T00:00:00,b2c7d6e10c0d11e3beaae4ef44b5706d,2013-08-28T04:53:52,At the end of a defined period the customers would make decision of renewing their subscription with the CSP as part of this phase.,0,0,0.0,0.0,6,6,6,,,
Recommend,1899-12-30T00:00:00,e085590d0c0d11e3beaae4ef44b5706d,0,0,2013-08-23T10:05:56,1899-12-30T00:00:00,b2c7d6e10c0d11e3beaae4ef44b5706d,2013-08-28T04:53:45,Customers would refer the CSP and the service they are using based on their experience. The referering phase implies either if it is positive or negative referral.,0,0,0.0,0.0,6,6,6,,,
Business Process Framework 15.0 Deletion,1899-12-30T00:00:00,e6300c4dfefb11e4aa85002590713bc0,0,0,2015-05-20T08:24:19,1899-12-30T00:00:00,62af7d8afe4011e4aa85002590713bc0,2015-05-20T08:24:19,,0,0,0.0,0.0,8,8,8,,,
Design Digital Services,1899-12-30T00:00:00,e6863a2434bb11e3bec1b72eb0d0e42f,0,0,2013-10-14T04:32:31,1899-12-30T00:00:00,6249e33534bb11e3bec1b72eb0d0e42f,2013-10-14T04:44:40,,0,0,0.0,0.0,6,6,6,,,
Customer SLA Management (5.18),1899-12-30T00:00:00,e8412f7853e711e0b70d002564cb911c,0,0,2011-03-21T14:20:33,1899-12-30T00:00:00,565609dd856311e2a387984be1bad6a0,2013-03-05T03:10:43,"Customer SLA Management (5.18)
This contribution replaces Customer Quality of Service & Service Level Agreement Management and Service Level Agreement Management, and is to be placed in the Customer Management X Assurance domain.

New in 4.5",0,0,0.0,0.0,,,6,ADMIN,ADMIN,
Leave,1899-12-30T00:00:00,e8e1d3020c0d11e3beaae4ef44b5706d,0,0,2013-08-23T10:06:01,1899-12-30T00:00:00,b2c7d6e10c0d11e3beaae4ef44b5706d,2013-08-28T04:53:23,The relationship between a CSP and a customer ends during this phase of the lifecycle.,0,0,0.0,0.0,6,6,6,,,
Information Framework 13.5 Modification,1899-12-30T00:00:00,eb24abb2a49211e3810f6817294aebff,0,0,2014-03-05T12:20:30,1899-12-30T00:00:00,8b21dab82ba511e397730220e3370c01,2014-03-05T12:20:30,,0,0,0.0,0.0,32,32,32,,,
Business Process Framework 20.5 Deletion,1899-12-30T00:00:00,ec3d076b33ff11eb80f9000d3a02ed0d,0,0,2020-12-01T18:06:34,1899-12-30T00:00:00,efaa146b659e11eb80fc000d3a02ed0d,2021-02-02T21:40:11,,0,0,0.0,0.0,,,,ATALMOR,ATALMOR,DFREED
Associate to L2 and Vertical L1,1899-12-30T00:00:00,edc8919eaaa311dd9438001de065480b,-1,0,2008-11-04T14:08:15,2008-11-04T14:35:34,565609dc856311e2a387984be1bad6a0,2013-03-05T03:06:25,,0,0,0.0,0.0,,,6,EVOLVEADMIN,EVOLVEADMIN,
Application Framework 20.0 Addition,1899-12-30T00:00:00,eee68cf3a19411ea80f0000d3a02ed0d,0,0,2020-05-29T10:12:43,1899-12-30T00:00:00,efaa146a659e11eb80fc000d3a02ed0d,2021-02-02T21:39:05,,0,0,0.0,0.0,,,,ATALMOR,ATALMOR,DFREED
Observe,1899-12-30T00:00:00,ef3c3dcc0c0d11e3beaae4ef44b5706d,0,0,2013-08-23T10:06:11,1899-12-30T00:00:00,e8e1d3050c0d11e3beaae4ef44b5706d,2013-08-28T04:54:58,"The prospect or customer will be implicitly or explicitly be exposed to observe the offerings and services provided by a CSP. This observing of the CSP can happen based on any media and channels (digital, print or media).",0,0,0.0,0.0,6,6,6,,,
Learn,1899-12-30T00:00:00,ef3c3dcd0c0d11e3beaae4ef44b5706d,0,0,2013-08-23T10:06:16,1899-12-30T00:00:00,e8e1d3050c0d11e3beaae4ef44b5706d,2013-08-28T04:54:45,During this phase the customer is learning further about the offering of the CSP. The learning could happen based on an inquiry directed to the CSP or by viewing feedback and reviews by other current or previous customers.,0,0,0.0,0.0,6,6,6,,,
React,1899-12-30T00:00:00,ef3c3dce0c0d11e3beaae4ef44b5706d,0,0,2013-08-23T10:06:21,1899-12-30T00:00:00,e8e1d3050c0d11e3beaae4ef44b5706d,2013-08-28T04:55:12,"Once the customer has learnt and understood the offerings of a CSP, he will have a natural reaction to it. The reaction could potentially be positive which could lead him to progress the journey with the CSP.",0,0,0.0,0.0,6,6,6,,,
